bandwidth,throughput,congestion,packet_loss,latency,jitter,Routers,Planned route,Network measure,Network target,Percentage video occupancy,Bitrate video,Number videos,anomaly_throughput,anomaly_congestion,anomaly_packet_loss,anomaly_latency,anomaly_jitter,anomaly
2,0.98,134.37,1.2022067953078621,4.48,3.65,0,1,0,1,10,0,2,0,1,0,0,0,0
2,3.96,3.37,0.0,4.48,0.85,1,0,0,1,80,835,2,0,0,0,0,0,0
2,1.85,21.18,23.287165456279705,17.36,0.87,1,1,0,1,120,1670,0,0,0,0,0,0,0
2,1.11,24.22,11.877155876664219,4.48,0.39,1,1,0,1,80,1670,1,0,0,0,0,0,1
2,2.98,0.03,0.0,12.89,0.78,1,0,0,1,0,1336,1,0,0,0,0,0,0
2,1.39,7.89,0.6649518956714299,4.48,1.63,1,1,0,1,10,0,0,0,0,0,0,0,0
2,3.01,0.03,0.0,4.48,0.6,1,0,0,0,20,1336,2,0,0,0,0,0,0
2,0.05,28.22,0.0,26.83,1.04,0,1,0,1,50,167,1,0,0,0,0,1,1
2,3.08,60.51,0.0,27.52,0.45,1,0,0,0,0,835,0,0,0,0,0,0,1
2,0.96,80.82,1.4443743683787285,23.58,0.97,1,1,0,1,10,167,0,0,0,1,0,0,0
2,0.18,0.29,0.47882863188067215,4.48,0.49,1,0,0,1,10,0,0,0,0,0,0,0,0
2,1.32,71.84,7.82729410075125,20.03,0.99,0,1,0,1,10,2004,1,0,0,0,0,0,0
2,1.8,24.65,0.30473427382660456,41.17,0.64,1,1,0,1,120,167,1,1,0,0,0,0,0
2,2.61,96.68,52.5,17.13,2.47,0,0,0,1,80,0,1,0,0,1,0,0,0
2,3.18,2.01,0.0,12.67,0.91,1,1,0,1,120,1336,1,1,0,0,0,0,0
2,0.05,3.85,38.265225577075825,26.63,1.07,1,1,0,1,20,1670,0,0,0,0,0,0,0
2,1.36,13.88,0.0,4.48,0.96,0,0,0,1,20,1670,1,0,0,0,0,0,0
2,0.05,94.43,0.18415132465692746,24.24,1.61,1,1,0,1,80,0,2,0,0,0,0,0,1
2,2.74,15.5,0.0,13.62,1.06,1,0,0,1,0,0,1,0,0,0,0,0,0
2,0.05,59.55,0.0,11.26,0.84,0,0,0,0,80,1336,1,0,0,0,0,1,0
2,2.27,0.03,0.0,19.46,1.0,1,1,0,0,0,167,1,0,0,1,0,0,0
2,0.85,80.0,5.667165333064617,21.49,0.64,1,0,0,1,0,0,2,0,0,0,0,0,0
2,1.07,0.03,0.0,4.48,1.7,1,0,0,1,20,0,2,0,0,0,0,0,0
2,0.05,134.37,0.9463584678698321,15.08,1.47,0,0,0,0,100,1670,0,0,0,0,0,0,1
2,2.32,134.37,0.0,8.16,0.57,1,0,0,0,0,0,2,0,0,0,0,0,0
2,3.4,90.4,0.0,4.48,0.77,0,1,0,0,0,0,3,0,0,0,0,1,0
2,1.89,27.9,2.8858538129099376,4.48,0.87,1,1,0,1,0,167,0,1,0,0,0,0,0
2,1.17,46.4,38.925543237264726,4.48,0.71,1,1,0,1,10,0,1,0,1,0,0,0,0
2,0.35,7.25,23.030239183275388,4.48,0.84,0,1,0,1,10,0,0,0,0,0,0,0,0
2,3.07,4.85,0.0,4.48,1.1,1,0,0,0,10,1336,2,0,0,1,0,0,0
2,2.97,5.29,0.0,17.31,1.67,1,0,0,1,0,167,0,0,0,1,0,0,0
2,0.42,0.03,0.9814374558134614,32.8,1.01,0,0,0,1,10,2004,0,0,0,1,0,0,0
2,1.48,89.98,0.0,30.24,0.97,0,0,0,0,80,835,2,0,0,0,0,0,0
2,1.11,2.53,5.490143509273943,11.33,2.0,1,0,0,1,80,167,2,0,0,0,0,0,0
2,1.87,0.03,0.0,12.31,0.83,0,0,0,1,50,0,1,0,0,0,0,0,1
2,1.48,133.38,0.0,16.54,0.96,1,1,0,1,0,167,0,0,0,0,0,0,0
2,2.42,13.14,0.0,4.48,0.73,0,1,0,1,80,1670,2,0,0,0,0,0,0
2,1.18,9.38,0.0,4.48,1.04,0,0,0,1,80,2004,2,1,0,0,0,0,0
2,2.55,1.51,2.575555117144642,764.25,0.12,0,0,0,1,0,167,1,0,0,0,0,0,0
2,1.62,25.69,14.787283893305224,4.48,0.99,1,0,0,0,10,2004,2,0,0,0,0,0,0
2,0.4,28.04,3.509590266671383,11.44,1.17,1,0,0,0,0,0,2,0,0,0,0,0,0
2,2.49,0.03,0.0,4.48,1.49,0,1,0,1,80,167,1,0,0,0,0,0,0
2,0.52,54.31,0.0,34.21,1.23,1,1,0,1,80,1336,0,0,0,0,0,0,0
2,2.92,43.53,10.389105616383713,4.48,0.27,1,1,0,1,0,0,1,0,1,0,0,0,0
2,0.67,75.14,0.0,12.42,4.46,0,1,0,1,0,0,1,0,0,0,0,0,0
2,2.24,134.37,21.14578802483318,40.23,0.61,0,0,0,0,0,0,2,0,0,0,0,0,0
2,2.64,77.62,0.0,10.63,0.77,1,0,0,0,10,334,4,0,0,0,0,0,0
2,2.08,134.37,0.0,35.33,1.05,1,0,0,0,80,1336,1,0,0,0,0,0,0
2,7.14,0.03,1.3658820263327516,6.0,0.77,1,0,0,0,10,0,2,0,0,0,0,0,0
2,1.32,72.8,40.95833065413955,17.35,0.81,0,0,0,0,10,0,2,0,0,1,0,0,0
2,2.24,0.03,0.0,25.76,1.02,1,0,0,0,10,334,1,0,0,0,0,0,0
2,0.05,19.05,0.0,981.73,0.79,1,0,0,1,10,0,2,0,0,0,1,1,0
2,2.52,3.16,0.5223317905869448,4.48,0.93,1,1,0,1,0,167,2,0,0,0,1,0,0
2,0.05,99.55,0.8812275749326186,1028.68,0.78,1,0,0,0,0,0,4,0,1,1,0,0,1
2,0.05,3.51,17.93136148648178,26.16,0.68,1,0,0,1,20,167,1,0,0,0,0,0,0
2,1.66,35.06,2.27482401581385,17.94,0.89,1,0,0,1,50,2004,2,0,0,0,0,0,0
2,2.03,0.03,0.9854660861879222,4.48,0.28,1,0,0,1,10,0,1,0,0,0,0,0,0
2,3.02,1.62,0.0,26.6,1.38,1,1,0,0,100,0,1,0,0,1,0,0,0
2,0.05,41.96,0.7623851010763545,22.5,0.94,1,1,0,1,0,0,0,0,0,0,0,0,0
2,1.72,56.92,0.0,34.8,0.89,1,0,0,1,0,1336,0,0,1,0,0,0,0
2,0.54,5.4,0.0,39.52,0.91,1,0,0,1,50,1670,1,0,0,1,0,0,0
2,1.1,1.33,0.0,26.18,0.84,0,1,0,1,0,0,2,0,0,0,1,0,0
2,2.78,15.09,0.0,17.36,0.86,1,1,0,0,100,1336,2,0,1,0,0,0,0
2,0.48,3.18,0.0,4.48,0.99,0,1,0,1,0,0,1,0,0,0,0,0,0
2,2.75,53.74,0.0,8.12,0.35,1,1,0,0,0,0,2,1,0,0,0,0,0
2,0.05,1.18,21.1126795555314,1149.51,1.51,0,1,0,1,120,167,0,0,0,0,0,0,0
2,3.13,55.06,0.0,4.48,0.83,0,0,0,0,10,0,0,1,0,0,0,0,0
2,1.86,27.58,0.0,9.24,0.85,0,1,0,1,0,0,1,0,0,0,0,0,0
2,1.95,5.12,0.0,946.68,0.63,0,0,0,1,0,1336,2,0,1,0,0,0,1
2,2.8,98.37,0.0,11.25,1.68,1,1,0,0,0,167,2,0,0,0,0,0,0
2,3.17,3.06,0.0,11.5,0.66,1,0,0,0,10,835,2,0,0,0,0,0,0
2,0.94,58.37,0.0,13.27,0.67,0,1,0,1,0,0,6,0,0,1,0,0,0
2,2.81,11.41,0.0,28.46,1.07,1,1,0,0,0,2004,2,0,0,0,0,0,0
2,0.26,134.37,16.009924586170516,31.44,1.97,1,1,0,1,10,2004,1,0,0,0,0,0,0
2,0.55,0.03,0.1069831717642269,4.48,1.79,1,0,0,0,50,0,6,0,1,0,0,1,1
2,0.05,2.61,0.0,38.07,1.17,0,0,0,0,20,1336,2,0,0,0,1,0,0
2,2.65,60.04,43.17699472182473,1032.65,1.08,1,0,0,1,20,0,2,0,0,1,0,0,0
2,2.63,5.67,0.0,30.67,0.9,1,0,0,0,120,1336,1,0,0,0,0,0,0
2,1.2,83.1,13.334580320552268,4.48,0.38,1,1,0,1,10,0,0,0,0,0,0,0,0
2,1.4,0.03,9.463514159757835,15.74,2.2,1,1,0,1,50,334,2,0,0,0,1,0,1
2,1.6,14.04,8.913737959333172,17.35,1.06,1,0,0,1,0,1670,2,0,0,0,0,0,0
2,0.19,52.76,0.5927997170863616,17.14,1.04,0,1,0,1,100,0,1,0,0,0,0,0,0
2,2.71,1.9,0.7001062441213826,4.48,1.01,0,1,0,1,80,1336,2,0,0,0,0,0,0
2,2.62,91.3,11.793025382419877,42.36,0.18,1,0,0,1,100,0,1,0,0,0,0,0,0
2,2.92,2.69,0.8123393363619681,21.13,2.66,1,0,0,1,120,2004,2,0,0,0,0,0,0
2,2.97,6.19,0.0,17.02,0.69,0,0,0,1,10,2004,2,0,0,0,0,0,0
2,1.5,54.2,0.7303398854695332,10.98,0.64,1,0,0,0,0,167,2,0,0,0,0,0,1
2,2.47,111.46,15.7270674948561,21.45,0.58,0,0,0,1,20,0,2,0,0,0,0,1,0
