bandwidth,throughput,congestion,packet_loss,latency,jitter,Routers,Planned route,Network measure,Network target,Percentage video occupancy,Bitrate video,Number videos,anomaly_throughput,anomaly_congestion,anomaly_packet_loss,anomaly_latency,anomaly_jitter,anomaly
2,6.57,134.37,0.0,5.05,0.18,0,1,0,1,80,1670,2,1,1,1,0,1,1
2,0.17,123.26,6.497236466740164,275.58,0.18,0,0,0,1,50,2004,1,0,0,1,0,0,1
2,0.94,132.7,8.61495009682056,228.97,0.99,1,1,0,1,100,2004,2,1,1,1,1,0,1
2,0.57,0.06,8.884771292840341,160.7,0.18,0,0,0,0,80,167,1,0,0,1,0,0,1
2,0.38,126.42,1.9278751103086886,3051.58,0.18,1,0,0,1,50,835,3,1,1,1,0,0,1
2,1.21,82.22,0.0,5.05,0.46,1,0,0,1,50,1336,2,1,0,1,0,1,1
2,0.11,105.44,40.06421044461241,302.49,0.18,0,0,0,0,100,1670,2,0,0,1,0,1,1
2,0.14,64.87,0.0,5.05,0.18,1,1,0,1,120,1336,1,0,0,1,1,0,1
2,1.62,88.3,0.0,228.64,0.18,0,0,0,0,100,2004,1,0,0,1,1,0,1
2,0.06,111.41,8.994151016137522,1213.6,0.73,1,0,0,1,100,1670,2,0,0,0,0,0,1
2,0.05,134.37,0.0,1021.88,0.53,1,0,0,1,80,167,1,1,0,1,1,1,1
2,0.05,134.37,15.885594277470313,5.05,2.53,0,1,0,0,80,1670,1,1,0,1,1,1,1
2,1.44,46.06,8.296131142314664,304.86,0.56,0,0,0,1,50,1336,1,1,1,1,0,1,1
2,0.9,125.89,0.0,5.05,0.18,1,0,0,1,50,1336,1,1,1,0,1,1,1
2,0.05,124.38,36.55148277818377,5.05,0.8,0,1,0,1,20,835,1,0,0,1,0,0,1
2,1.65,134.37,0.0,326.28,0.18,1,0,0,1,100,1670,1,0,0,1,0,0,1
2,2.52,134.37,48.93486568425486,5.05,0.18,0,0,0,1,100,2004,1,0,0,1,0,0,1
2,3.0,134.37,0.0,20.0,0.18,0,1,0,1,50,0,2,0,0,1,1,0,1
2,0.93,117.45,29.123856166485417,247.14,2.51,0,0,0,1,120,1670,2,1,0,1,0,1,1
2,2.87,119.37,0.0,274.62,1.24,0,0,0,0,50,835,1,1,0,1,0,0,1
2,0.85,134.37,8.157048349064638,49.07,0.18,0,0,0,0,120,1336,1,1,0,0,1,1,1
2,0.05,65.69,0.0,259.95,0.18,1,0,0,1,100,835,2,0,0,1,0,1,1
2,2.31,127.03,7.34635836332197,5.05,1.17,1,0,0,1,100,1670,1,0,0,1,1,1,1
2,0.05,128.84,0.0,5.05,0.88,0,0,0,0,10,167,1,1,0,1,0,0,1
2,1.18,134.37,14.451803879618952,161.94,1.9,1,0,0,1,10,1670,2,0,0,1,0,0,1
2,4.59,49.79,0.0,1393.11,0.18,0,1,0,0,50,1670,1,1,1,1,0,0,1
2,0.05,103.31,16.338630810767516,1150.02,0.67,0,1,0,1,10,1336,1,1,0,1,1,1,1
2,0.05,105.9,0.0,210.71,0.18,0,1,0,1,10,334,1,0,0,1,0,1,1
2,0.05,134.37,15.210314080192397,150.14,0.18,0,1,0,1,80,1670,1,1,0,1,0,0,1
2,0.05,134.37,0.0,5.05,0.18,0,0,0,1,50,2004,2,0,0,0,0,0,1
2,1.55,126.82,0.0,210.23,0.36,1,0,0,0,100,1670,1,1,0,0,0,1,1
2,3.07,92.48,0.0,120.36,0.52,0,0,0,0,80,1670,2,0,0,1,0,0,1
2,0.05,105.54,0.0,192.07,0.25,0,0,0,1,50,2004,2,1,1,1,1,1,1
2,3.99,77.3,0.7448953610555726,202.48,0.53,1,0,0,0,120,1336,2,0,0,1,1,1,1
2,1.16,132.34,0.34861410275440363,220.23,0.18,0,0,0,0,120,1336,2,0,1,1,1,0,1
2,1.03,71.29,14.42881308412909,253.67,0.18,1,1,0,1,10,1336,2,1,0,0,0,1,1
2,5.63,84.44,8.12160189470379,251.63,0.18,0,1,0,1,50,2004,2,0,0,0,0,0,1
2,0.96,125.92,0.0,312.23,0.18,0,0,0,1,120,334,2,1,0,1,0,0,1
2,0.05,127.49,22.376231819114203,1036.33,0.41,0,0,0,1,100,2004,1,1,1,0,0,1,1
2,0.42,34.52,0.0,250.25,0.18,1,0,0,0,80,835,2,1,0,1,0,0,1
2,0.05,83.79,0.0,1388.71,0.18,1,1,0,0,50,1336,2,1,0,1,0,0,1
2,0.05,116.6,25.831259953278625,5.05,0.28,0,1,0,1,80,2004,1,1,0,1,0,1,1
2,0.05,91.1,0.0,212.21,1.46,0,1,0,1,100,835,2,0,0,0,0,1,1
2,0.05,57.53,37.3110389959039,183.08,0.18,1,1,0,1,100,2004,1,1,1,1,0,1,1
2,1.94,134.37,39.67062999063371,5.05,0.39,0,0,0,1,80,835,5,0,0,1,0,0,1
2,0.05,110.53,3.6212476293304796,233.88,0.53,0,0,0,0,80,1670,2,1,0,1,0,0,1
2,1.07,114.11,0.0,5.05,0.18,1,0,0,0,10,1670,1,1,0,1,1,0,1
2,1.0,124.58,45.746823222809134,1320.0,0.18,1,0,0,0,50,1336,1,0,1,1,0,1,1
2,3.91,28.63,0.0,5.05,0.76,0,0,0,1,80,1670,2,0,0,1,0,0,1
2,0.5,123.22,0.0,1048.18,0.18,0,0,0,0,80,1336,2,0,0,0,1,1,1
2,0.05,97.06,1.3014850347221412,150.49,0.18,1,1,0,0,80,1670,1,0,0,1,0,0,1
2,1.39,84.72,51.60104468206346,102.66,0.18,1,0,0,1,80,1670,2,0,0,1,1,0,1
2,0.05,134.06,0.0,1485.48,0.18,1,1,0,1,50,167,1,0,0,1,1,0,1
2,0.05,134.37,0.0,85.7,0.18,1,0,0,1,80,2004,1,0,0,0,1,0,1
2,0.05,35.05,0.0,127.27,0.18,0,0,0,1,100,167,1,0,0,1,1,1,1
2,2.32,82.2,16.53314652411129,1953.94,0.18,1,1,0,1,120,334,2,0,0,1,0,1,1
2,5.89,127.86,42.90399130796855,53.8,0.18,1,0,0,1,80,2004,1,0,0,1,1,0,1
2,2.4,69.07,8.650173456312505,1044.18,0.41,1,1,0,0,10,2004,2,1,0,0,1,1,1
2,0.05,95.45,31.098679504363055,137.87,0.18,0,1,0,1,80,2004,1,1,0,1,0,0,1
2,1.13,133.0,8.884175969289107,86.09,0.18,1,0,0,1,120,835,1,0,1,1,0,1,1
2,0.71,119.72,14.586403173902664,93.55,0.69,0,0,0,1,120,2004,1,0,0,0,0,0,1
2,0.05,114.45,15.197481285764507,5.05,0.36,0,1,0,1,100,1670,1,1,0,1,1,0,1
2,0.18,87.35,0.0,1084.34,1.11,1,0,0,0,10,1336,1,0,1,1,1,1,1
2,1.46,104.12,0.0,208.1,1.6,0,1,0,1,80,835,1,0,1,1,0,0,1
2,0.09,132.79,25.973255932701512,286.85,0.18,1,1,0,1,0,1670,2,0,0,0,0,1,1
2,0.05,106.86,0.0,18.68,3.23,0,1,0,1,80,1336,1,0,1,1,0,0,1
2,6.57,77.18,0.0,99.49,0.43,0,0,0,0,80,2004,1,1,0,1,0,0,1
2,0.69,127.51,10.472218564787573,3051.58,0.35,0,1,0,1,100,1336,1,0,1,1,1,1,1
2,1.19,87.26,0.0,852.93,0.18,0,0,0,1,100,835,1,1,1,1,0,1,1
2,5.05,128.32,0.0,300.93,0.18,1,1,0,0,50,1336,2,0,0,1,1,1,1
2,0.05,106.91,37.13706311334164,800.42,1.69,1,0,0,0,100,2004,1,0,0,1,0,1,1
2,0.29,134.37,44.10122072625533,5.05,0.18,0,0,0,1,50,1670,1,1,0,1,0,0,1
2,3.06,134.37,42.569528174715536,270.45,1.66,0,1,0,1,100,2004,2,0,0,1,0,0,1
2,0.05,134.37,24.951711017738013,186.93,0.18,1,1,0,1,120,167,1,0,0,1,0,0,1
2,0.51,134.37,12.966688445531885,5.05,0.18,0,0,0,0,120,2004,1,1,1,1,1,0,1
2,0.63,105.06,18.189446134694045,59.52,0.18,0,0,0,0,100,835,2,1,1,1,1,1,1
2,0.05,71.17,0.0,87.4,0.38,1,0,0,1,100,1670,2,1,1,0,1,0,1
2,0.05,134.37,0.0,225.54,0.18,1,0,0,0,80,835,1,0,0,0,0,0,1
2,0.05,0.06,0.0,178.94,0.18,0,1,0,0,80,1670,1,0,0,1,0,0,1
2,0.05,118.97,16.209491378833537,20.94,1.71,0,0,0,1,100,1670,2,1,0,0,0,0,1
2,0.05,134.37,6.494063130040244,989.45,0.18,1,0,0,1,80,167,2,0,0,1,0,0,1
2,1.23,134.37,40.03646686933837,293.92,0.18,0,0,0,1,10,167,1,0,0,0,0,0,1
2,0.49,51.78,39.320094779650105,292.92,0.36,0,0,0,1,120,835,2,0,0,1,0,1,1
2,0.05,78.59,14.947978229628166,1637.03,0.18,1,0,0,1,120,1670,1,0,0,0,0,1,1
2,0.05,134.37,32.49596009159664,1049.57,0.23,1,0,0,1,80,1336,1,1,0,1,0,0,1
2,1.36,134.37,25.558585650641305,189.4,1.01,1,0,0,1,100,835,2,0,0,1,0,0,1
